id,lat,lon,val,far_edge,near_edge
0,47.240833,-1.518056,8608930595,28,3
1,47.202222,-1.591389,5116092167,38,1
2,47.202778,-1.539722,10539589380,24,0
3,47.179167,-1.623333,13891999197,3,2
4,47.241944,-1.618889,12136031719,21,2
5,47.176111,-1.615278,11749995434,22,2
6,47.291111,-1.510833,10953579836,2,3
7,47.295278,-1.393611,7585550476,9,3
8,47.209167,-1.707500,7080581433,10,2
9,47.213333,-1.557500,14767141431,1,1
10,47.282500,-1.726944,2386900981,29,2
11,47.213889,-1.549167,35760997167,30,1
12,47.213611,-1.608611,6409233040,7,2
13,47.201944,-1.548333,12149018305,15,0
14,47.216667,-1.538889,13985724507,30,0
15,47.216667,-1.553889,11548404757,14,1
16,47.214167,-1.565833,2613125498,1,1
17,47.219722,-1.592500,7669206394,35,1
18,47.223333,-1.615000,12968223747,7,2
19,47.310833,-1.644167,4194615288,23,2
20,47.239167,-1.561111,11928693815,11,1
21,47.256667,-1.519167,6145439668,2,3
22,47.179167,-1.561667,10140204787,32,0
23,47.225833,-1.645278,5167777167,31,2
24,47.213889,-1.567500,8735416395,0,1
25,47.166111,-1.666667,3808786180,3,2
26,47.251111,-1.701111,11283609973,29,2
27,47.226944,-1.546111,10248347906,14,1
28,47.176667,-1.515278,14523931974,4,0
29,47.321111,-1.591944,5118527265,34,3
30,47.201389,-1.506111,16974798526,6,0
31,47.247500,-1.574167,16039723778,8,1
32,47.190833,-1.582778,7319338940,12,1
33,47.210278,-1.559167,23658634721,26,1
34,47.275000,-1.475278,6732101322,17,3
35,47.264722,-1.484722,9341301796,28,3
36,47.121111,-1.630278,6004001555,22,2
37,47.235000,-1.561111,12194252755,11,1
38,47.264167,-1.460278,10215076594,17,3
39,47.228889,-1.533889,9772327833,33,3
40,47.271111,-1.609444,8599879470,23,2
41,47.191389,-1.591667,8562092287,38,1
42,47.229722,-1.555556,18783874817,11,1
43,47.290556,-1.393611,1835832242,9,3
44,47.291111,-1.610000,4949005047,34,2
45,47.204444,-1.548889,23871548663,24,0
46,47.223611,-1.536944,13462069718,30,0
47,47.272500,-1.494167,7111024799,2,3
48,47.217778,-1.541389,17928035908,30,0
49,47.294444,-1.484444,9725079747,17,3
50,47.216944,-1.723889,10777023236,10,2
51,47.188611,-1.503889,14086697331,6,0
52,47.209722,-1.546667,15563227547,24,0
53,47.239167,-1.590000,16265790207,35,1
54,47.228889,-1.582500,14667087059,35,1
55,47.155556,-1.658889,5662652521,3,2
56,47.251667,-1.464167,13052592020,39,3
57,47.213611,-1.532222,25646031476,6,0
58,47.276667,-1.658889,7893020503,23,2
59,47.157500,-1.537500,7860263599,15,0
60,47.250000,-1.505000,11063932423,28,3
61,47.179444,-1.597500,11398814401,38,2
62,47.208611,-1.585000,6517093589,0,1
63,47.185556,-1.480000,9352260820,18,0
64,47.236667,-1.600000,11513371908,21,1
65,47.276389,-1.780556,11827691758,5,2
66,47.198611,-1.670556,10686801995,36,2
67,47.194722,-1.541111,14881086692,24,0
68,47.187500,-1.710000,5726749130,10,2
69,47.264167,-1.580833,7501167247,34,3
70,47.142500,-1.664444,5102579505,3,2
71,47.220833,-1.575556,15810808889,35,1
72,47.295278,-1.560833,21830102810,37,3
73,47.168611,-1.528333,9142655852,4,0
74,47.252778,-1.594167,15218722234,34,1
75,47.228611,-1.631944,18756277311,7,2
76,47.157500,-1.601944,9775372986,22,2
77,47.217778,-1.599722,4496596955,7,1
78,47.303611,-1.507500,16292423277,20,3
79,47.254444,-1.567778,12469035291,37,3
80,47.193611,-1.644167,8507843361,36,2
81,47.126944,-1.430278,3960426365,27,0
82,47.168333,-1.473056,18122549502,27,0
83,47.219722,-1.561944,5877448401,8,1
84,47.267222,-1.492222,4177158709,28,3
85,47.179722,-1.655833,6639752478,3,2
86,47.240833,-1.543611,16346706914,37,3
87,47.296667,-1.492222,5863351235,2,3
88,47.111111,-1.551389,53737602,32,0
89,47.247778,-1.746389,5137018094,29,2
90,47.340833,-1.526667,545574041,20,3
91,47.200833,-1.567500,14784343235,26,1
92,47.185278,-1.586944,6187410179,12,1
93,47.183333,-1.491111,12366631685,18,0
94,47.216389,-1.553611,5796679107,14,1
95,47.170278,-1.562222,9594691488,32,0
96,47.204167,-1.535556,18580170371,24,0
97,47.191389,-1.759167,28215808567,10,2
98,47.190000,-1.684167,8885912214,36,2
99,47.235833,-1.580278,16773494358,8,1
100,47.188889,-1.515000,9438521523,4,0
101,47.248056,-1.525278,9180145545,16,3
102,47.255556,-1.525556,1177550684,16,3
103,47.285833,-1.453056,15161283457,17,3
104,47.165833,-1.584167,7598878422,12,0
105,47.213333,-1.620833,11427559161,7,2
106,47.245000,-1.601389,5507835664,21,2
107,47.185000,-1.460833,7016596219,18,0
108,47.234444,-1.503889,12964152832,33,3
109,47.222222,-1.508333,15638956383,39,0
110,47.275833,-1.549444,23297875847,37,3
111,47.204722,-1.588611,1523400591,0,1
112,47.141944,-1.533056,7218018885,32,0
113,47.240278,-1.673056,10462083632,31,2
114,47.185833,-1.720000,4990988817,10,2
115,47.256667,-1.524722,1529061302,16,3
116,47.254444,-1.422222,83527206,39,3
117,47.175000,-1.586944,4852928652,12,1
118,47.193889,-1.555000,17407675160,26,0
119,47.216667,-1.682778,12372598034,36,2
120,47.219444,-1.533333,9899100266,30,0
121,47.217500,-1.568056,8264666268,35,1
122,47.204167,-1.481944,10475833318,18,0
123,47.157500,-1.593611,3682784691,12,2
124,47.301389,-1.429722,15463704156,17,3
125,47.122778,-1.606111,2894738107,22,2
126,47.271944,-1.429722,11535517984,39,3
127,47.270556,-1.521667,13548950619,2,3
128,47.188889,-1.551667,13046741200,32,0
129,47.207778,-1.575000,12763690428,0,1
130,47.226667,-1.560833,8444366509,11,1
131,47.148889,-1.700000,7339363435,19,2
132,47.221667,-1.563333,6847238508,8,1
133,47.222778,-1.522222,24495239786,33,0
134,47.145000,-1.730556,3364985209,19,2
135,47.213611,-1.651389,12058612508,36,2
136,47.251111,-1.614167,10631537764,21,2
137,47.212778,-1.542500,15755733544,30,0
138,47.261944,-1.500833,8958010285,28,3
139,47.281389,-1.513889,11904818386,2,3
140,47.185000,-1.532778,15252929553,15,0
141,47.259167,-1.530556,15312469414,20,3
142,47.251111,-1.511389,7098732815,28,3
143,47.235556,-1.639722,6827410069,31,2
144,47.213889,-1.553611,12650752844,1,1
145,47.244444,-1.608333,6220646241,21,2
146,47.221944,-1.650556,6421371796,31,2
147,47.210556,-1.564167,13001215149,26,1
148,47.239722,-1.479167,21563950496,39,3
149,47.204722,-1.605833,21956072179,3,2
150,47.120833,-1.630000,1773374673,22,2
151,47.255833,-1.555833,16737770414,11,3
152,47.216389,-1.553889,6449897550,1,1
153,47.194722,-1.485278,8151716769,6,0
154,47.232778,-1.524167,13929040054,33,3
155,47.164722,-1.459167,17406232937,27,0
156,47.154167,-1.511667,22321530851,4,0
157,47.193889,-1.527778,10966479483,24,0
158,47.270833,-1.623611,10637886648,23,2
159,47.221667,-1.557500,15955403999,14,1
160,47.255556,-1.523889,1388733068,16,3
161,47.243889,-1.554444,19204619575,11,3
