service,labels
Amazon_Web_Services,0
Apple_App_Store,1
Apple_Mail,0
Apple_Music,0
Apple_Siri,0
Apple_Video,4
Apple_Web_Services,0
Apple_iCloud,1
Apple_iMessage,0
Apple_iTunes,0
Clash_of_Clans,0
DailyMotion,4
Deezer,1
Dropbox,0
EA_Games,0
Facebook,3
Facebook_Live,3
Facebook_Messenger,0
Fortnite,4
Google_Docs,0
Google_Drive,0
Google_Mail,0
Google_Maps,0
Google_Meet,4
Google_Play_Store,1
Google_Web_Services,1
Instagram,2
LinkedIn,0
Microsoft_Azure,0
Microsoft_Mail,0
Microsoft_Office,0
Microsoft_Skydrive,0
Microsoft_Store,4
Microsoft_Web_Services,0
Molotov,4
Netflix,3
Orange_TV,4
Periscope,0
Pinterest,4
PlayStation,4
Pokemon_GO,0
Skype,0
Snapchat,1
SoundCloud,0
Spotify,0
TeamViewer,0
Telegram,0
Tor,0
Twitch,4
Twitter,4
Uber,4
Waze,0
Web_Ads,1
Web_Adult,0
Web_Clothes,0
Web_Downloads,1
Web_Finance,0
Web_Food,0
Web_Games,0
Web_Streaming,4
Web_Transportation,0
Web_Weather,0
Web_e-Commerce,0
WhatsApp,0
Wikipedia,4
Yahoo,0
Yahoo_Mail,0
YouTube,3
